Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender	UCD - ICD-10 113 Cause List	UCD - ICD-10 113 Cause List Code	Deaths	Population
<1	2054-5	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	23071
<1	2054-5	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	23269
<1	2054-5	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	12697
<1	2054-5	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	21	11606
<1	2054-5	2186-2	26	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	10957
<1	2054-5	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	11782
<1	2106-3	2135-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	114475
<1	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	93267
<1	2106-3	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	48313
<1	2106-3	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	40477
<1	2106-3	2186-2	18	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	30146
<1	2106-3	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	15	16020
<1	2106-3	2186-2	29	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	27132
<1	2106-3	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	15	50129
<1	2106-3	2186-2	47	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	15	26003
<1	2106-3	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	62785
1-4	2054-5	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	96686
1-4	2054-5	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	46380
1-4	2054-5	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	92545
1-4	2106-3	2135-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	18	475851
1-4	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	23	368251
1-4	2106-3	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	18	187233
1-4	2106-3	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	116660
1-4	2106-3	2186-2	29	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	107087
1-4	2106-3	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	196222
1-4	2106-3	2186-2	42	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	188617
1-4	2106-3	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	18	257059
5-9	2054-5	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	121613
5-9	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	466739
5-9	2106-3	2186-2	29	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	141168
5-9	2106-3	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	325623
10-14	2106-3	2135-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	575383
10-14	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	455524
10-14	2106-3	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	356071
10-14	2106-3	2186-2	18	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	161803
10-14	2106-3	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	335283
15-19	2054-5	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	122555
15-19	2054-5	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	57942
15-19	2054-5	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	123582
15-19	2106-3	2135-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	46	577857
15-19	2106-3	2135-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	152267
15-19	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	58	422130
15-19	2106-3	2186-2	1	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	95926
15-19	2106-3	2186-2	5	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	65435
15-19	2106-3	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	41	377612
15-19	2106-3	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	42	267381
15-19	2106-3	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	30	166919
15-19	2106-3	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	34	227971
15-19	2106-3	2186-2	18	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	35	170051
15-19	2106-3	2186-2	19	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	86616
15-19	2106-3	2186-2	21	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	115479
15-19	2106-3	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	79203
15-19	2106-3	2186-2	26	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	29	233245
15-19	2106-3	2186-2	27	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	133584
15-19	2106-3	2186-2	28	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	26	51277
15-19	2106-3	2186-2	29	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	31	147907
15-19	2106-3	2186-2	34	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	146873
15-19	2106-3	2186-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	30	322784
15-19	2106-3	2186-2	37	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	28	186635
15-19	2106-3	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	39	289218
15-19	2106-3	2186-2	40	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	76295
15-19	2106-3	2186-2	41	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	83406
15-19	2106-3	2186-2	42	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	41	295660
15-19	2106-3	2186-2	45	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	21	90154
15-19	2106-3	2186-2	47	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	22	143323
15-19	2106-3	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	56	332733
15-19	2106-3	2186-2	49	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	88890
15-19	2106-3	2186-2	51	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	24	156930
15-19	2106-3	2186-2	53	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	137276
15-19	2106-3	2186-2	55	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	143907
20-24	A-PI	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	189277
20-24	2054-5	2186-2	1	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	57787
20-24	2054-5	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	26	139206
20-24	2054-5	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	21	136304
20-24	2054-5	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	12	81353
20-24	2054-5	2186-2	28	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	49113
20-24	2054-5	2186-2	37	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	22	91237
20-24	2054-5	2186-2	45	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	57788
20-24	2054-5	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	27	136484
20-24	2106-3	2135-2	4	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	85099
20-24	2106-3	2135-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	69	597380
20-24	2106-3	2135-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	31	158816
20-24	2106-3	2135-2	35	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	37159
20-24	2106-3	2135-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	114521
20-24	2106-3	2135-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	79	407051
20-24	2106-3	2186-2	1	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	40	102052
20-24	2106-3	2186-2	4	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	30	105953
20-24	2106-3	2186-2	5	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	23	69254
20-24	2106-3	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	75	436788
20-24	2106-3	2186-2	8	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	27	117462
20-24	2106-3	2186-2	9	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	73385
20-24	2106-3	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	103	296601
20-24	2106-3	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	53	171980
20-24	2106-3	2186-2	17	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	50	245603
20-24	2106-3	2186-2	18	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	51	182451
20-24	2106-3	2186-2	19	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	14	93452
20-24	2106-3	2186-2	21	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	43	124665
20-24	2106-3	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	28	87526
20-24	2106-3	2186-2	24	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	93748
20-24	2106-3	2186-2	25	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	49	167687
20-24	2106-3	2186-2	26	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	53	247834
20-24	2106-3	2186-2	27	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	138158
20-24	2106-3	2186-2	28	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	17	54088
20-24	2106-3	2186-2	29	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	47	160339
20-24	2106-3	2186-2	33	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	40182
20-24	2106-3	2186-2	34	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	30	141140
20-24	2106-3	2186-2	36	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	59	358222
20-24	2106-3	2186-2	37	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	58	199223
20-24	2106-3	2186-2	39	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	91	291394
20-24	2106-3	2186-2	40	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	86740
20-24	2106-3	2186-2	41	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	93762
20-24	2106-3	2186-2	42	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	97	300170
20-24	2106-3	2186-2	45	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	25	96577
20-24	2106-3	2186-2	47	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	40	159776
20-24	2106-3	2186-2	48	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	91	361513
20-24	2106-3	2186-2	49	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	16	95729
20-24	2106-3	2186-2	51	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	29	170617
20-24	2106-3	2186-2	53	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	28	153316
20-24	2106-3	2186-2	54	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	23	54013
20-24	2106-3	2186-2	55	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	27	155975
25-29	1002-5	2186-2	4	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	12187
25-29	A-PI	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	243657
25-29	2054-5	2186-2	1	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	11	51024
25-29	2054-5	2186-2	6	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	97859
25-29	2054-5	2186-2	12	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	13	132968
25-29	2054-5	2186-2	13	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	20	127805
25-29	2054-5	2186-2	22	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	19	60148
25-29	2054-5	2186-2	24	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	70494
25-29	2054-5	2186-2	26	F	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	GR113-112	10	54718
