Age Group Code	State Code	Gender Code	Race Code	Ethnicity Code	pop estimate
85-89	1	F	2106-3	2186-2	26676
85-89	2	F	2106-3	2186-2	1698
85-89	4	F	2106-3	2186-2	39289
85-89	5	F	2106-3	2186-2	18884
85-89	6	F	2106-3	2186-2	170213
85-89	8	F	2106-3	2186-2	27679
85-89	9	F	2106-3	2186-2	31932
85-89	10	F	2106-3	2186-2	5906
85-89	11	F	2106-3	2186-2	1315
85-89	12	F	2106-3	2186-2	150927
85-89	13	F	2106-3	2186-2	39942
85-89	15	F	2106-3	2186-2	2581
85-89	16	F	2106-3	2186-2	9720
85-89	17	F	2106-3	2186-2	84990
85-89	18	F	2106-3	2186-2	46450
85-89	19	F	2106-3	2186-2	30193
85-89	20	F	2106-3	2186-2	23177
85-89	21	F	2106-3	2186-2	28453
85-89	22	F	2106-3	2186-2	21717
85-89	23	F	2106-3	2186-2	12144
85-89	24	F	2106-3	2186-2	33170
85-89	25	F	2106-3	2186-2	57369
85-89	26	F	2106-3	2186-2	71879
85-89	27	F	2106-3	2186-2	43936
85-89	28	F	2106-3	2186-2	14619
85-89	29	F	2106-3	2186-2	44865
85-89	30	F	2106-3	2186-2	8026
85-89	31	F	2106-3	2186-2	15566
85-89	32	F	2106-3	2186-2	10852
85-89	33	F	2106-3	2186-2	10935
85-89	34	F	2106-3	2186-2	63508
85-89	35	F	2106-3	2186-2	8807
85-89	36	F	2106-3	2186-2	130301
85-89	37	F	2106-3	2186-2	55717
85-89	38	F	2106-3	2186-2	6828
85-89	39	F	2106-3	2186-2	88681
85-89	40	F	2106-3	2186-2	23507
85-89	41	F	2106-3	2186-2	29884
85-89	42	F	2106-3	2186-2	120079
85-89	44	F	2106-3	2186-2	10735
85-89	45	F	2106-3	2186-2	24643
85-89	46	F	2106-3	2186-2	7961
85-89	47	F	2106-3	2186-2	39274
85-89	48	F	2106-3	2186-2	100141
85-89	49	F	2106-3	2186-2	11585
85-89	50	F	2106-3	2186-2	5447
85-89	51	F	2106-3	2186-2	44098
85-89	53	F	2106-3	2186-2	44304
85-89	54	F	2106-3	2186-2	14603
85-89	55	F	2106-3	2186-2	47799
85-89	56	F	2106-3	2186-2	3541
90-94	1	F	2106-3	2186-2	14176
90-94	2	F	2106-3	2186-2	902
90-94	4	F	2106-3	2186-2	20878
90-94	5	F	2106-3	2186-2	10035
90-94	6	F	2106-3	2186-2	90450
90-94	8	F	2106-3	2186-2	14709
90-94	9	F	2106-3	2186-2	16969
90-94	10	F	2106-3	2186-2	3139
90-94	11	F	2106-3	2186-2	699
90-94	12	F	2106-3	2186-2	80202
90-94	13	F	2106-3	2186-2	21225
90-94	15	F	2106-3	2186-2	1372
90-94	16	F	2106-3	2186-2	5165
90-94	17	F	2106-3	2186-2	45163
90-94	18	F	2106-3	2186-2	24683
90-94	19	F	2106-3	2186-2	16044
90-94	20	F	2106-3	2186-2	12316
90-94	21	F	2106-3	2186-2	15120
90-94	22	F	2106-3	2186-2	11540
90-94	23	F	2106-3	2186-2	6453
90-94	24	F	2106-3	2186-2	17626
90-94	25	F	2106-3	2186-2	30486
90-94	26	F	2106-3	2186-2	38196
90-94	27	F	2106-3	2186-2	23348
90-94	28	F	2106-3	2186-2	7769
90-94	29	F	2106-3	2186-2	23841
90-94	30	F	2106-3	2186-2	4265
90-94	31	F	2106-3	2186-2	8272
90-94	32	F	2106-3	2186-2	5767
90-94	33	F	2106-3	2186-2	5811
90-94	34	F	2106-3	2186-2	33748
90-94	35	F	2106-3	2186-2	4680
90-94	36	F	2106-3	2186-2	69241
90-94	37	F	2106-3	2186-2	29608
90-94	38	F	2106-3	2186-2	3628
90-94	39	F	2106-3	2186-2	47125
90-94	40	F	2106-3	2186-2	12491
90-94	41	F	2106-3	2186-2	15880
90-94	42	F	2106-3	2186-2	63810
90-94	44	F	2106-3	2186-2	5704
90-94	45	F	2106-3	2186-2	13095
90-94	46	F	2106-3	2186-2	4231
90-94	47	F	2106-3	2186-2	20870
90-94	48	F	2106-3	2186-2	53215
90-94	49	F	2106-3	2186-2	6156
90-94	50	F	2106-3	2186-2	2895
90-94	51	F	2106-3	2186-2	23434
90-94	53	F	2106-3	2186-2	23543
90-94	54	F	2106-3	2186-2	7760
90-94	55	F	2106-3	2186-2	25400
90-94	56	F	2106-3	2186-2	1882
95-99	1	F	2106-3	2186-2	4078
95-99	2	F	2106-3	2186-2	260
95-99	4	F	2106-3	2186-2	6007
95-99	5	F	2106-3	2186-2	2887
95-99	6	F	2106-3	2186-2	26023
95-99	8	F	2106-3	2186-2	4232
95-99	9	F	2106-3	2186-2	4882
95-99	10	F	2106-3	2186-2	903
95-99	11	F	2106-3	2186-2	201
95-99	12	F	2106-3	2186-2	23075
95-99	13	F	2106-3	2186-2	6107
95-99	15	F	2106-3	2186-2	395
95-99	16	F	2106-3	2186-2	1486
95-99	17	F	2106-3	2186-2	12994
95-99	18	F	2106-3	2186-2	7102
95-99	19	F	2106-3	2186-2	4616
95-99	20	F	2106-3	2186-2	3543
95-99	21	F	2106-3	2186-2	4350
95-99	22	F	2106-3	2186-2	3320
95-99	23	F	2106-3	2186-2	1857
95-99	24	F	2106-3	2186-2	5071
95-99	25	F	2106-3	2186-2	8771
95-99	26	F	2106-3	2186-2	10989
95-99	27	F	2106-3	2186-2	6717
95-99	28	F	2106-3	2186-2	2235
95-99	29	F	2106-3	2186-2	6859
95-99	30	F	2106-3	2186-2	1227
95-99	31	F	2106-3	2186-2	2380
95-99	32	F	2106-3	2186-2	1659
95-99	33	F	2106-3	2186-2	1672
95-99	34	F	2106-3	2186-2	9709
95-99	35	F	2106-3	2186-2	1347
95-99	36	F	2106-3	2186-2	19921
95-99	37	F	2106-3	2186-2	8518
95-99	38	F	2106-3	2186-2	1044
95-99	39	F	2106-3	2186-2	13558
95-99	40	F	2106-3	2186-2	3594
95-99	41	F	2106-3	2186-2	4569
95-99	42	F	2106-3	2186-2	18359
95-99	44	F	2106-3	2186-2	1641
95-99	45	F	2106-3	2186-2	3768
95-99	46	F	2106-3	2186-2	1217
95-99	47	F	2106-3	2186-2	6005
95-99	48	F	2106-3	2186-2	15310
95-99	49	F	2106-3	2186-2	1771
95-99	50	F	2106-3	2186-2	833
95-99	51	F	2106-3	2186-2	6742
95-99	53	F	2106-3	2186-2	6774
95-99	54	F	2106-3	2186-2	2233
95-99	55	F	2106-3	2186-2	7308
95-99	56	F	2106-3	2186-2	541
100+	1	F	2106-3	2186-2	643
100+	2	F	2106-3	2186-2	41
100+	4	F	2106-3	2186-2	947
100+	5	F	2106-3	2186-2	455
100+	6	F	2106-3	2186-2	4102
100+	8	F	2106-3	2186-2	667
100+	9	F	2106-3	2186-2	770
100+	10	F	2106-3	2186-2	142
100+	11	F	2106-3	2186-2	32
100+	12	F	2106-3	2186-2	3638
100+	13	F	2106-3	2186-2	963
100+	15	F	2106-3	2186-2	62
100+	16	F	2106-3	2186-2	234
100+	17	F	2106-3	2186-2	2048
100+	18	F	2106-3	2186-2	1120
100+	19	F	2106-3	2186-2	728
100+	20	F	2106-3	2186-2	559
100+	21	F	2106-3	2186-2	686
100+	22	F	2106-3	2186-2	523
100+	23	F	2106-3	2186-2	293
100+	24	F	2106-3	2186-2	799
100+	25	F	2106-3	2186-2	1383
100+	26	F	2106-3	2186-2	1732
100+	27	F	2106-3	2186-2	1059
100+	28	F	2106-3	2186-2	352
100+	29	F	2106-3	2186-2	1081
100+	30	F	2106-3	2186-2	193
100+	31	F	2106-3	2186-2	375
100+	32	F	2106-3	2186-2	262
100+	33	F	2106-3	2186-2	264
100+	34	F	2106-3	2186-2	1531
100+	35	F	2106-3	2186-2	212
100+	36	F	2106-3	2186-2	3141
100+	37	F	2106-3	2186-2	1343
100+	38	F	2106-3	2186-2	165
100+	39	F	2106-3	2186-2	2137
100+	40	F	2106-3	2186-2	567
100+	41	F	2106-3	2186-2	720
100+	42	F	2106-3	2186-2	2894
100+	44	F	2106-3	2186-2	259
100+	45	F	2106-3	2186-2	594
100+	46	F	2106-3	2186-2	192
100+	47	F	2106-3	2186-2	947
100+	48	F	2106-3	2186-2	2414
100+	49	F	2106-3	2186-2	279
100+	50	F	2106-3	2186-2	131
100+	51	F	2106-3	2186-2	1063
100+	53	F	2106-3	2186-2	1068
100+	54	F	2106-3	2186-2	352
100+	55	F	2106-3	2186-2	1152
100+	56	F	2106-3	2186-2	85
85-89	1	F	2106-3	2135-2	273
85-89	2	F	2106-3	2135-2	54
85-89	4	F	2106-3	2135-2	4986
85-89	5	F	2106-3	2135-2	215
85-89	6	F	2106-3	2135-2	43134
85-89	8	F	2106-3	2135-2	2521
85-89	9	F	2106-3	2135-2	1054
85-89	10	F	2106-3	2135-2	127
85-89	11	F	2106-3	2135-2	150
85-89	12	F	2106-3	2135-2	28404
85-89	13	F	2106-3	2135-2	1119
85-89	15	F	2106-3	2135-2	171
85-89	16	F	2106-3	2135-2	241
85-89	17	F	2106-3	2135-2	4069
85-89	18	F	2106-3	2135-2	737
85-89	19	F	2106-3	2135-2	259
85-89	20	F	2106-3	2135-2	603
85-89	21	F	2106-3	2135-2	252
85-89	22	F	2106-3	2135-2	771
85-89	23	F	2106-3	2135-2	58
85-89	24	F	2106-3	2135-2	991
85-89	25	F	2106-3	2135-2	1289
85-89	26	F	2106-3	2135-2	1055
85-89	27	F	2106-3	2135-2	296
85-89	28	F	2106-3	2135-2	162
85-89	29	F	2106-3	2135-2	525
85-89	30	F	2106-3	2135-2	87
85-89	31	F	2106-3	2135-2	255
85-89	32	F	2106-3	2135-2	1421
85-89	33	F	2106-3	2135-2	80
85-89	34	F	2106-3	2135-2	4795
85-89	35	F	2106-3	2135-2	4479
85-89	36	F	2106-3	2135-2	11693
85-89	37	F	2106-3	2135-2	944
85-89	38	F	2106-3	2135-2	27
85-89	39	F	2106-3	2135-2	878
85-89	40	F	2106-3	2135-2	468
85-89	41	F	2106-3	2135-2	670
85-89	42	F	2106-3	2135-2	1432
85-89	44	F	2106-3	2135-2	218
85-89	45	F	2106-3	2135-2	344
85-89	46	F	2106-3	2135-2	54
85-89	47	F	2106-3	2135-2	425
85-89	48	F	2106-3	2135-2	29130
85-89	49	F	2106-3	2135-2	510
85-89	50	F	2106-3	2135-2	53
85-89	51	F	2106-3	2135-2	1116
85-89	53	F	2106-3	2135-2	1086
85-89	54	F	2106-3	2135-2	112
85-89	55	F	2106-3	2135-2	531
85-89	56	F	2106-3	2135-2	146
90-94	1	F	2106-3	2135-2	125
90-94	2	F	2106-3	2135-2	25
90-94	4	F	2106-3	2135-2	2280
90-94	5	F	2106-3	2135-2	98
90-94	6	F	2106-3	2135-2	19722
90-94	8	F	2106-3	2135-2	1153
90-94	9	F	2106-3	2135-2	482
90-94	10	F	2106-3	2135-2	58
90-94	11	F	2106-3	2135-2	69
90-94	12	F	2106-3	2135-2	12987
90-94	13	F	2106-3	2135-2	512
90-94	15	F	2106-3	2135-2	78
90-94	16	F	2106-3	2135-2	110
90-94	17	F	2106-3	2135-2	1861
90-94	18	F	2106-3	2135-2	337
90-94	19	F	2106-3	2135-2	119
90-94	20	F	2106-3	2135-2	276
90-94	21	F	2106-3	2135-2	115
90-94	22	F	2106-3	2135-2	353
90-94	23	F	2106-3	2135-2	26
90-94	24	F	2106-3	2135-2	453
90-94	25	F	2106-3	2135-2	589
90-94	26	F	2106-3	2135-2	483
90-94	27	F	2106-3	2135-2	136
90-94	28	F	2106-3	2135-2	74
90-94	29	F	2106-3	2135-2	240
90-94	30	F	2106-3	2135-2	40
90-94	31	F	2106-3	2135-2	117
90-94	32	F	2106-3	2135-2	650
90-94	33	F	2106-3	2135-2	37
90-94	34	F	2106-3	2135-2	2192
90-94	35	F	2106-3	2135-2	2048
90-94	36	F	2106-3	2135-2	5346
90-94	37	F	2106-3	2135-2	432
90-94	38	F	2106-3	2135-2	12
90-94	39	F	2106-3	2135-2	401
90-94	40	F	2106-3	2135-2	214
90-94	41	F	2106-3	2135-2	306
90-94	42	F	2106-3	2135-2	655
90-94	44	F	2106-3	2135-2	100
90-94	45	F	2106-3	2135-2	157
90-94	46	F	2106-3	2135-2	25
90-94	47	F	2106-3	2135-2	194
90-94	48	F	2106-3	2135-2	13319
90-94	49	F	2106-3	2135-2	233
90-94	50	F	2106-3	2135-2	24
90-94	51	F	2106-3	2135-2	510
90-94	53	F	2106-3	2135-2	496
90-94	54	F	2106-3	2135-2	51
90-94	55	F	2106-3	2135-2	243
90-94	56	F	2106-3	2135-2	67
95-99	1	F	2106-3	2135-2	35
95-99	2	F	2106-3	2135-2	7
95-99	4	F	2106-3	2135-2	646
95-99	5	F	2106-3	2135-2	28
95-99	6	F	2106-3	2135-2	5585
95-99	8	F	2106-3	2135-2	326
95-99	9	F	2106-3	2135-2	136
95-99	10	F	2106-3	2135-2	16
95-99	11	F	2106-3	2135-2	19
95-99	12	F	2106-3	2135-2	3678
95-99	13	F	2106-3	2135-2	145
95-99	15	F	2106-3	2135-2	22
95-99	16	F	2106-3	2135-2	31
95-99	17	F	2106-3	2135-2	527
95-99	18	F	2106-3	2135-2	95
95-99	19	F	2106-3	2135-2	34
95-99	20	F	2106-3	2135-2	78
95-99	21	F	2106-3	2135-2	33
95-99	22	F	2106-3	2135-2	100
95-99	23	F	2106-3	2135-2	7
95-99	24	F	2106-3	2135-2	128
95-99	25	F	2106-3	2135-2	167
95-99	26	F	2106-3	2135-2	137
95-99	27	F	2106-3	2135-2	38
95-99	28	F	2106-3	2135-2	21
95-99	29	F	2106-3	2135-2	68
95-99	30	F	2106-3	2135-2	11
95-99	31	F	2106-3	2135-2	33
95-99	32	F	2106-3	2135-2	184
95-99	33	F	2106-3	2135-2	10
95-99	34	F	2106-3	2135-2	621
95-99	35	F	2106-3	2135-2	580
95-99	36	F	2106-3	2135-2	1514
95-99	37	F	2106-3	2135-2	122
95-99	38	F	2106-3	2135-2	3
95-99	39	F	2106-3	2135-2	114
95-99	40	F	2106-3	2135-2	61
95-99	41	F	2106-3	2135-2	87
95-99	42	F	2106-3	2135-2	185
95-99	44	F	2106-3	2135-2	28
95-99	45	F	2106-3	2135-2	44
95-99	46	F	2106-3	2135-2	7
95-99	47	F	2106-3	2135-2	55
95-99	48	F	2106-3	2135-2	3772
95-99	49	F	2106-3	2135-2	66
95-99	50	F	2106-3	2135-2	7
95-99	51	F	2106-3	2135-2	144
95-99	53	F	2106-3	2135-2	141
95-99	54	F	2106-3	2135-2	15
95-99	55	F	2106-3	2135-2	69
95-99	56	F	2106-3	2135-2	19
100+	1	F	2106-3	2135-2	7
100+	2	F	2106-3	2135-2	1
100+	4	F	2106-3	2135-2	129
100+	5	F	2106-3	2135-2	6
100+	6	F	2106-3	2135-2	1116
100+	8	F	2106-3	2135-2	65
100+	9	F	2106-3	2135-2	27
100+	10	F	2106-3	2135-2	3
100+	11	F	2106-3	2135-2	4
100+	12	F	2106-3	2135-2	735
100+	13	F	2106-3	2135-2	29
100+	15	F	2106-3	2135-2	4
100+	16	F	2106-3	2135-2	6
100+	17	F	2106-3	2135-2	105
100+	18	F	2106-3	2135-2	19
100+	19	F	2106-3	2135-2	7
100+	20	F	2106-3	2135-2	16
100+	21	F	2106-3	2135-2	7
100+	22	F	2106-3	2135-2	20
100+	23	F	2106-3	2135-2	1
100+	24	F	2106-3	2135-2	26
100+	25	F	2106-3	2135-2	33
100+	26	F	2106-3	2135-2	27
100+	27	F	2106-3	2135-2	8
100+	28	F	2106-3	2135-2	4
100+	29	F	2106-3	2135-2	14
100+	30	F	2106-3	2135-2	2
100+	31	F	2106-3	2135-2	7
100+	32	F	2106-3	2135-2	37
100+	33	F	2106-3	2135-2	2
100+	34	F	2106-3	2135-2	124
100+	35	F	2106-3	2135-2	116
100+	36	F	2106-3	2135-2	303
100+	37	F	2106-3	2135-2	24
100+	38	F	2106-3	2135-2	1
100+	39	F	2106-3	2135-2	23
100+	40	F	2106-3	2135-2	12
100+	41	F	2106-3	2135-2	17
100+	42	F	2106-3	2135-2	37
100+	44	F	2106-3	2135-2	6
100+	45	F	2106-3	2135-2	9
100+	46	F	2106-3	2135-2	1
100+	47	F	2106-3	2135-2	11
100+	48	F	2106-3	2135-2	754
100+	49	F	2106-3	2135-2	13
100+	50	F	2106-3	2135-2	1
100+	51	F	2106-3	2135-2	29
100+	53	F	2106-3	2135-2	28
100+	54	F	2106-3	2135-2	3
100+	55	F	2106-3	2135-2	14
100+	56	F	2106-3	2135-2	4
85-89	1	M	2106-3	2186-2	11263
85-89	2	M	2106-3	2186-2	875
85-89	4	M	2106-3	2186-2	21978
85-89	5	M	2106-3	2186-2	8525
85-89	6	M	2106-3	2186-2	81540
85-89	8	M	2106-3	2186-2	12577
85-89	9	M	2106-3	2186-2	13378
85-89	10	M	2106-3	2186-2	2751
85-89	11	M	2106-3	2186-2	660
85-89	12	M	2106-3	2186-2	82995
85-89	13	M	2106-3	2186-2	16968
85-89	15	M	2106-3	2186-2	1425
85-89	16	M	2106-3	2186-2	4944
85-89	17	M	2106-3	2186-2	35023
85-89	18	M	2106-3	2186-2	19160
85-89	19	M	2106-3	2186-2	12557
85-89	20	M	2106-3	2186-2	10249
85-89	21	M	2106-3	2186-2	11736
85-89	22	M	2106-3	2186-2	9715
85-89	23	M	2106-3	2186-2	5356
85-89	24	M	2106-3	2186-2	14351
85-89	25	M	2106-3	2186-2	23280
85-89	26	M	2106-3	2186-2	31579
85-89	27	M	2106-3	2186-2	19274
85-89	28	M	2106-3	2186-2	6152
85-89	29	M	2106-3	2186-2	19390
85-89	30	M	2106-3	2186-2	4027
85-89	31	M	2106-3	2186-2	6886
85-89	32	M	2106-3	2186-2	6009
85-89	33	M	2106-3	2186-2	4679
85-89	34	M	2106-3	2186-2	26483
85-89	35	M	2106-3	2186-2	4478
85-89	36	M	2106-3	2186-2	56242
85-89	37	M	2106-3	2186-2	23955
85-89	38	M	2106-3	2186-2	3032
85-89	39	M	2106-3	2186-2	37921
85-89	40	M	2106-3	2186-2	10852
85-89	41	M	2106-3	2186-2	14061
85-89	42	M	2106-3	2186-2	50143
85-89	44	M	2106-3	2186-2	4114
85-89	45	M	2106-3	2186-2	10844
85-89	46	M	2106-3	2186-2	3494
85-89	47	M	2106-3	2186-2	16447
85-89	48	M	2106-3	2186-2	45562
85-89	49	M	2106-3	2186-2	6482
85-89	50	M	2106-3	2186-2	2337
85-89	51	M	2106-3	2186-2	19448
85-89	53	M	2106-3	2186-2	20670
85-89	54	M	2106-3	2186-2	6477
85-89	55	M	2106-3	2186-2	20851
85-89	56	M	2106-3	2186-2	1782
90-94	1	M	2106-3	2186-2	6178
90-94	2	M	2106-3	2186-2	480
90-94	4	M	2106-3	2186-2	12056
90-94	5	M	2106-3	2186-2	4676
90-94	6	M	2106-3	2186-2	44727
90-94	8	M	2106-3	2186-2	6899
90-94	9	M	2106-3	2186-2	7338
90-94	10	M	2106-3	2186-2	1509
90-94	11	M	2106-3	2186-2	362
90-94	12	M	2106-3	2186-2	45525
90-94	13	M	2106-3	2186-2	9308
90-94	15	M	2106-3	2186-2	781
90-94	16	M	2106-3	2186-2	2712
90-94	17	M	2106-3	2186-2	19211
90-94	18	M	2106-3	2186-2	10510
90-94	19	M	2106-3	2186-2	6888
90-94	20	M	2106-3	2186-2	5622
90-94	21	M	2106-3	2186-2	6438
90-94	22	M	2106-3	2186-2	5329
90-94	23	M	2106-3	2186-2	2938
90-94	24	M	2106-3	2186-2	7872
90-94	25	M	2106-3	2186-2	12770
90-94	26	M	2106-3	2186-2	17322
90-94	27	M	2106-3	2186-2	10572
90-94	28	M	2106-3	2186-2	3375
90-94	29	M	2106-3	2186-2	10636
90-94	30	M	2106-3	2186-2	2209
90-94	31	M	2106-3	2186-2	3777
90-94	32	M	2106-3	2186-2	3296
90-94	33	M	2106-3	2186-2	2567
90-94	34	M	2106-3	2186-2	14526
90-94	35	M	2106-3	2186-2	2457
90-94	36	M	2106-3	2186-2	30850
90-94	37	M	2106-3	2186-2	13140
90-94	38	M	2106-3	2186-2	1663
90-94	39	M	2106-3	2186-2	20801
90-94	40	M	2106-3	2186-2	5953
90-94	41	M	2106-3	2186-2	7713
90-94	42	M	2106-3	2186-2	27505
90-94	44	M	2106-3	2186-2	2257
90-94	45	M	2106-3	2186-2	5948
90-94	46	M	2106-3	2186-2	1917
90-94	47	M	2106-3	2186-2	9021
90-94	48	M	2106-3	2186-2	24992
90-94	49	M	2106-3	2186-2	3555
90-94	50	M	2106-3	2186-2	1282
90-94	51	M	2106-3	2186-2	10668
90-94	53	M	2106-3	2186-2	11338
90-94	54	M	2106-3	2186-2	3553
90-94	55	M	2106-3	2186-2	11438
90-94	56	M	2106-3	2186-2	977
95-99	1	M	2106-3	2186-2	1305
95-99	2	M	2106-3	2186-2	101
95-99	4	M	2106-3	2186-2	2546
95-99	5	M	2106-3	2186-2	987
95-99	6	M	2106-3	2186-2	9445
95-99	8	M	2106-3	2186-2	1457
95-99	9	M	2106-3	2186-2	1550
95-99	10	M	2106-3	2186-2	319
95-99	11	M	2106-3	2186-2	76
95-99	12	M	2106-3	2186-2	9614
95-99	13	M	2106-3	2186-2	1966
95-99	15	M	2106-3	2186-2	165
95-99	16	M	2106-3	2186-2	573
95-99	17	M	2106-3	2186-2	4057
95-99	18	M	2106-3	2186-2	2219
95-99	19	M	2106-3	2186-2	1454
95-99	20	M	2106-3	2186-2	1187
95-99	21	M	2106-3	2186-2	1359
95-99	22	M	2106-3	2186-2	1125
95-99	23	M	2106-3	2186-2	620
95-99	24	M	2106-3	2186-2	1662
95-99	25	M	2106-3	2186-2	2697
95-99	26	M	2106-3	2186-2	3658
95-99	27	M	2106-3	2186-2	2233
95-99	28	M	2106-3	2186-2	713
95-99	29	M	2106-3	2186-2	2246
95-99	30	M	2106-3	2186-2	466
95-99	31	M	2106-3	2186-2	798
95-99	32	M	2106-3	2186-2	696
95-99	33	M	2106-3	2186-2	542
95-99	34	M	2106-3	2186-2	3068
95-99	35	M	2106-3	2186-2	519
95-99	36	M	2106-3	2186-2	6515
95-99	37	M	2106-3	2186-2	2775
95-99	38	M	2106-3	2186-2	351
95-99	39	M	2106-3	2186-2	4393
95-99	40	M	2106-3	2186-2	1257
95-99	41	M	2106-3	2186-2	1629
95-99	42	M	2106-3	2186-2	5808
95-99	44	M	2106-3	2186-2	477
95-99	45	M	2106-3	2186-2	1256
95-99	46	M	2106-3	2186-2	405
95-99	47	M	2106-3	2186-2	1905
95-99	48	M	2106-3	2186-2	5278
