Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
<1	2106-3	2135-2	1	F	12	1907
<1	2106-3	2135-2	1	M	14	1961
<1	2054-5	2186-2	1	F	117	9576
<1	2054-5	2186-2	1	M	161	9829
<1	2106-3	2186-2	1	F	83	15923
<1	2106-3	2186-2	1	M	102	16768
<1	1002-5	2186-2	2	F	15	1138
<1	1002-5	2186-2	2	M	19	1175
<1	2106-3	2186-2	2	F	22	3156
<1	2106-3	2186-2	2	M	14	3280
<1	2054-5	2135-2	4	F	11	681
<1	2106-3	2135-2	4	F	90	16358
<1	2106-3	2135-2	4	M	93	17178
<1	1002-5	2186-2	4	F	16	2270
<1	1002-5	2186-2	4	M	15	2410
<1	2054-5	2186-2	4	F	23	2522
<1	2054-5	2186-2	4	M	26	2621
<1	2106-3	2186-2	4	F	70	17623
<1	2106-3	2186-2	4	M	83	18415
<1	2106-3	2135-2	5	F	11	1974
<1	2054-5	2186-2	5	F	38	3820
<1	2054-5	2186-2	5	M	58	4037
<1	2106-3	2186-2	5	F	74	11854
<1	2106-3	2186-2	5	M	98	12338
<1	A-PI	2135-2	6	M	11	4319
<1	2054-5	2135-2	6	F	18	4664
<1	2054-5	2135-2	6	M	18	4974
<1	2106-3	2135-2	6	F	492	114475
<1	2106-3	2135-2	6	M	559	119362
<1	A-PI	2186-2	6	F	107	28838
<1	A-PI	2186-2	6	M	119	30501
<1	2054-5	2186-2	6	F	90	15650
<1	2054-5	2186-2	6	M	169	16424
<1	2106-3	2186-2	6	F	241	70388
<1	2106-3	2186-2	6	M	306	73827
<1	2106-3	2135-2	8	F	41	9003
<1	2106-3	2135-2	8	M	48	9500
<1	2054-5	2186-2	8	F	18	1830
<1	2054-5	2186-2	8	M	18	1994
<1	2106-3	2186-2	8	F	80	19118
<1	2106-3	2186-2	8	M	77	20178
<1	2106-3	2135-2	9	F	33	3826
<1	2106-3	2135-2	9	M	24	3955
<1	2054-5	2186-2	9	F	31	2391
<1	2054-5	2186-2	9	M	25	2487
<1	2106-3	2186-2	9	F	35	9605
<1	2106-3	2186-2	9	M	38	10101
