Age Code	State Code	Race Code	Ethnicity Code	Gender	Population
0	1	1002-5	2135-2	F	114
0	1	1002-5	2186-2	F	147
0	1	A-PI	2135-2	F	95
0	1	A-PI	2186-2	F	448
0	1	2054-5	2135-2	F	206
0	1	2054-5	2186-2	F	9350
0	1	2106-3	2135-2	F	2034
0	1	2106-3	2186-2	F	16500
0	2	1002-5	2135-2	F	117
0	2	1002-5	2186-2	F	1119
0	2	A-PI	2135-2	F	29
0	2	A-PI	2186-2	F	380
0	2	2054-5	2135-2	F	50
0	2	2054-5	2186-2	F	304
0	2	2106-3	2135-2	F	365
0	2	2106-3	2186-2	F	3053
0	4	1002-5	2135-2	F	1148
0	4	1002-5	2186-2	F	2232
0	4	A-PI	2135-2	F	315
0	4	A-PI	2186-2	F	1364
0	4	2054-5	2135-2	F	658
0	4	2054-5	2186-2	F	2622
0	4	2106-3	2135-2	F	17121
0	4	2106-3	2186-2	F	17262
0	5	1002-5	2135-2	F	79
0	5	1002-5	2186-2	F	176
0	5	A-PI	2135-2	F	29
0	5	A-PI	2186-2	F	379
0	5	2054-5	2135-2	F	89
0	5	2054-5	2186-2	F	3835
0	5	2106-3	2135-2	F	2020
0	5	2106-3	2186-2	F	11870
0	6	1002-5	2135-2	F	4979
0	6	1002-5	2186-2	F	1250
0	6	A-PI	2135-2	F	3603
0	6	A-PI	2186-2	F	30943
0	6	2054-5	2135-2	F	3856
0	6	2054-5	2186-2	F	15309
0	6	2106-3	2135-2	F	114405
0	6	2106-3	2186-2	F	70010
0	8	1002-5	2135-2	F	595
0	8	1002-5	2186-2	F	295
0	8	A-PI	2135-2	F	180
0	8	A-PI	2186-2	F	1204
0	8	2054-5	2135-2	F	435
0	8	2054-5	2186-2	F	1873
0	8	2106-3	2135-2	F	8904
0	8	2106-3	2186-2	F	19249
0	9	1002-5	2135-2	F	121
0	9	1002-5	2186-2	F	70
0	9	A-PI	2135-2	F	68
0	9	A-PI	2186-2	F	1024
0	9	2054-5	2135-2	F	639
0	9	2054-5	2186-2	F	2408
0	9	2106-3	2135-2	F	3859
0	9	2106-3	2186-2	F	9536
0	10	1002-5	2135-2	F	45
0	10	1002-5	2186-2	F	21
0	10	A-PI	2135-2	F	20
0	10	A-PI	2186-2	F	240
0	10	2054-5	2135-2	F	121
0	10	2054-5	2186-2	F	1413
0	10	2106-3	2135-2	F	672
0	10	2106-3	2186-2	F	2750
0	11	1002-5	2135-2	F	24
0	11	1002-5	2186-2	F	10
0	11	A-PI	2135-2	F	44
0	11	A-PI	2186-2	F	219
0	11	2054-5	2135-2	F	131
0	11	2054-5	2186-2	F	1981
0	11	2106-3	2135-2	F	570
0	11	2106-3	2186-2	F	1556
0	12	1002-5	2135-2	F	456
0	12	1002-5	2186-2	F	269
0	12	A-PI	2135-2	F	460
0	12	A-PI	2186-2	F	3260
0	12	2054-5	2135-2	F	2619
0	12	2054-5	2186-2	F	23740
0	12	2106-3	2135-2	F	30896
0	12	2106-3	2186-2	F	47472
0	13	1002-5	2135-2	F	298
0	13	1002-5	2186-2	F	145
0	13	A-PI	2135-2	F	271
0	13	A-PI	2186-2	F	2546
0	13	2054-5	2135-2	F	1268
0	13	2054-5	2186-2	F	23193
0	13	2106-3	2135-2	F	8120
0	13	2106-3	2186-2	F	28659
0	15	1002-5	2135-2	F	26
0	15	1002-5	2186-2	F	26
0	15	A-PI	2135-2	F	914
0	15	A-PI	2186-2	F	4540
0	15	2054-5	2135-2	F	72
0	15	2054-5	2186-2	F	326
0	15	2106-3	2135-2	F	732
0	15	2106-3	2186-2	F	2134
0	16	1002-5	2135-2	F	184
0	16	1002-5	2186-2	F	186
0	16	A-PI	2135-2	F	31
0	16	A-PI	2186-2	F	220
0	16	2054-5	2135-2	F	41
0	16	2054-5	2186-2	F	177
0	16	2106-3	2135-2	F	1902
0	16	2106-3	2186-2	F	8320
0	17	1002-5	2135-2	F	509
0	17	1002-5	2186-2	F	139
0	17	A-PI	2135-2	F	237
0	17	A-PI	2186-2	F	4237
0	17	2054-5	2135-2	F	836
0	17	2054-5	2186-2	F	12992
0	17	2106-3	2135-2	F	17071
0	17	2106-3	2186-2	F	40076
0	18	1002-5	2135-2	F	121
0	18	1002-5	2186-2	F	114
0	18	A-PI	2135-2	F	66
0	18	A-PI	2186-2	F	954
0	18	2054-5	2135-2	F	313
0	18	2054-5	2186-2	F	5516
0	18	2106-3	2135-2	F	3935
0	18	2106-3	2186-2	F	29717
0	19	1002-5	2135-2	F	84
0	19	1002-5	2186-2	F	58
0	19	A-PI	2135-2	F	32
0	19	A-PI	2186-2	F	607
0	19	2054-5	2135-2	F	85
0	19	2054-5	2186-2	F	1395
0	19	2106-3	2135-2	F	1758
0	19	2106-3	2186-2	F	15299
0	20	1002-5	2135-2	F	156
0	20	1002-5	2186-2	F	199
0	20	A-PI	2135-2	F	49
0	20	A-PI	2186-2	F	606
0	20	2054-5	2135-2	F	173
0	20	2054-5	2186-2	F	1735
0	20	2106-3	2135-2	F	3118
0	20	2106-3	2186-2	F	12879
0	21	1002-5	2135-2	F	49
0	21	1002-5	2186-2	F	49
0	21	A-PI	2135-2	F	55
0	21	A-PI	2186-2	F	469
0	21	2054-5	2135-2	F	144
0	21	2054-5	2186-2	F	3052
0	21	2106-3	2135-2	F	1479
0	21	2106-3	2186-2	F	21556
0	22	1002-5	2135-2	F	82
0	22	1002-5	2186-2	F	220
0	22	A-PI	2135-2	F	74
0	22	A-PI	2186-2	F	546
0	22	2054-5	2135-2	F	396
0	22	2054-5	2186-2	F	11717
0	22	2106-3	2135-2	F	2000
0	22	2106-3	2186-2	F	15818
0	23	1002-5	2135-2	F	5
0	23	1002-5	2186-2	F	84
0	23	A-PI	2135-2	F	3
0	23	A-PI	2186-2	F	95
0	23	2054-5	2135-2	F	13
0	23	2054-5	2186-2	F	234
0	23	2106-3	2135-2	F	123
0	23	2106-3	2186-2	F	5637
0	24	1002-5	2135-2	F	286
0	24	1002-5	2186-2	F	104
0	24	A-PI	2135-2	F	215
0	24	A-PI	2186-2	F	2297
0	24	2054-5	2135-2	F	892
0	24	2054-5	2186-2	F	11877
0	24	2106-3	2135-2	F	4961
0	24	2106-3	2186-2	F	15493
0	25	1002-5	2135-2	F	207
0	25	1002-5	2186-2	F	79
0	25	A-PI	2135-2	F	157
0	25	A-PI	2186-2	F	2627
0	25	2054-5	2135-2	F	1279
0	25	2054-5	2186-2	F	3405
0	25	2106-3	2135-2	F	5767
0	25	2106-3	2186-2	F	21377
0	26	1002-5	2135-2	F	196
0	26	1002-5	2186-2	F	453
0	26	A-PI	2135-2	F	66
0	26	A-PI	2186-2	F	1935
0	26	2054-5	2135-2	F	435
0	26	2054-5	2186-2	F	10810
0	26	2106-3	2135-2	F	3741
0	26	2106-3	2186-2	F	37636
0	27	1002-5	2135-2	F	214
0	27	1002-5	2186-2	F	596
0	27	A-PI	2135-2	F	64
0	27	A-PI	2186-2	F	2190
0	27	2054-5	2135-2	F	193
0	27	2054-5	2186-2	F	3614
0	27	2106-3	2135-2	F	2473
0	27	2106-3	2186-2	F	24851
0	28	1002-5	2135-2	F	39
0	28	1002-5	2186-2	F	114
0	28	A-PI	2135-2	F	46
0	28	A-PI	2186-2	F	175
0	28	2054-5	2135-2	F	188
0	28	2054-5	2186-2	F	8339
0	28	2106-3	2135-2	F	731
0	28	2106-3	2186-2	F	9052
0	29	1002-5	2135-2	F	79
0	29	1002-5	2186-2	F	229
0	29	A-PI	2135-2	F	63
0	29	A-PI	2186-2	F	870
0	29	2054-5	2135-2	F	232
0	29	2054-5	2186-2	F	5925
0	29	2106-3	2135-2	F	2035
0	29	2106-3	2186-2	F	26869
0	30	1002-5	2135-2	F	78
0	30	1002-5	2186-2	F	678
0	30	A-PI	2135-2	F	11
0	30	A-PI	2186-2	F	55
0	30	2054-5	2135-2	F	12
0	30	2054-5	2186-2	F	107
0	30	2106-3	2135-2	F	254
0	30	2106-3	2186-2	F	4949
0	31	1002-5	2135-2	F	161
0	31	1002-5	2186-2	F	197
0	31	A-PI	2135-2	F	39
0	31	A-PI	2186-2	F	354
0	31	2054-5	2135-2	F	96
0	31	2054-5	2186-2	F	994
0	31	2106-3	2135-2	F	2144
0	31	2106-3	2186-2	F	8981
0	32	1002-5	2135-2	F	293
0	32	1002-5	2186-2	F	191
0	32	A-PI	2135-2	F	259
0	32	A-PI	2186-2	F	1243
0	32	2054-5	2135-2	F	397
0	32	2054-5	2186-2	F	2181
0	32	2106-3	2135-2	F	6318
0	32	2106-3	2186-2	F	6885
0	33	1002-5	2135-2	F	19
0	33	1002-5	2186-2	F	19
0	33	A-PI	2135-2	F	7
0	33	A-PI	2186-2	F	221
0	33	2054-5	2135-2	F	45
0	33	2054-5	2186-2	F	131
0	33	2106-3	2135-2	F	336
0	33	2106-3	2186-2	F	5228
0	34	1002-5	2135-2	F	465
0	34	1002-5	2186-2	F	89
